"TARGET","LAAM_a","LAAM_b"
"Gm2a",5.66602341447493,5.8087983289443
"Krit1",3.98319450925535,3.37655948330586
"Clcn4",4.64783745308432,4.61896111763811
"Hk2",2.98777734136886,3.26254016903318
"Myo18a",4.73512095049699,4.59795555908241
"Cd52",7.02877612649491,8.43245201300747
"Loxl3",2.15791272762261,1.88568607221198
"Kat2b",5.06405318458612,4.72516169095494
"Icosl",4.52400122609897,4.59684469716479
"Spg7",4.28086025696527,4.43000196432939
"Chmp1a",5.32045806220681,5.31953447960997
"Rpa1",4.51211041641371,4.47762667441209
"Serpinf1",6.02015585033323,5.78695113556332
"Tubgcp3",3.51645683127821,3.13872570678077
"Polr3d",2.59303016246232,2.67166939806089
"Tcf7",0.0464185568953701,1.35576939854799
"Kcnn3",-1.19546810306546,1.03563663221716
"Usp32",3.12811905581987,3.01678617276114
"Car4",2.4338116465309,4.12554806928479
"Txnrd3",1.56284049030492,1.30728910326108
"Zfp512b",2.84189563135563,2.62703278449078
"Dnajc5",5.21588330295492,5.15030675156725
"Tpd52l2",5.68987186229749,5.49443946548089
"Fmr1",4.22155248961402,3.8426702727498
"Bcl11a",-2.51811998931754,0.261703834959346
"Pxmp4",3.20899272594631,3.05692960578775
"Dlg3",1.75218666677415,1.89231749678623
"Mmp11",-0.294019001799828,-0.146636094298892
"Smarcb1",4.50950563744978,4.5712779537599
"Vpreb3",0.249662366989924,1.12112285844821
"Hip1r",0.207238533993761,0.92523716572858
"Nsun5",2.44677951082226,1.80519423519411
"Top1mt",0.920210131254553,0.915920220843916
"Mmp14",1.19224199699275,3.69255853064306
"Slc7a7",4.78444629298036,4.72425204231834
"Oxa1l",3.70412904671369,3.75418686809144
"Heatr6",2.02884071614884,2.52603635321429
"Ccl3",9.15528512242371,9.27151377218289
"Wfdc18",1.28371468202364,1.41893047297316
"Ilf2",4.10359930312561,4.44576066326761
"Chtop",5.62500629982244,5.54615310943479
"Snapin",5.27359149546745,5.43313508926691
"S100a3",-1.20017314195498,-0.582584846051518
"S100a6",7.14902556275223,7.44843177122576
"Icam2",4.11641698373412,4.99775856236523
"Mapk7",3.09395418251947,3.29746907123008
"Epn2",3.29401188493603,3.15663739544613
"Sec24b",4.83987654266785,4.58990017045324
"N4bp3",1.64990671168653,1.17995275556932
"Rmnd5b",3.17805540546589,3.36908190779142
"Nhp2",3.95255642799748,4.67550805480292
"Vps9d1",4.92938675870521,4.99407775325577
"Zfp276",3.16624108711359,2.92807372307787
"Mfsd10",5.14961073497109,5.41924457772955
"Kctd10",4.40762461103699,4.75594713565888
"Poldip2",4.13620960873194,4.20012559286705
"Ift20",5.04172059701,4.6189025646321
"Col6a1",0.46727856206445,1.15459024233423
"Pcbp3",1.38612490852136,1.93323439014531
"Lgals9",6.79265568953645,6.85610633194892
"Araf",5.26467362669197,4.9611407789084
"Cfp",9.84259438838218,9.39900800973572
"Cnnm3",3.62006413853478,3.53731128082454
"Lman2l",3.7698908160739,3.86700814459577
"Mcm3ap",2.86414109987845,2.46213088844135
"Mxd1",3.98883140366317,3.55884079392192
"Gmcl1",2.23953212453676,2.86965211146123
"Snrnp27",4.95032036574123,5.11632181918518
"Oas1c",1.18115912906692,1.33153073883184
"Ocrl",4.81643761479239,4.60150725707255
"Calm1",8.76425543523043,8.83687890296237
"Agpat3",5.54229598065813,5.38157927312886
"Sema6b",2.82213772329624,2.37340731269562
"Uhrf1",2.31955417527229,2.63122022608644
"Dpp9",4.14011817755306,4.12582491824261
"Lsr",2.13309354334418,2.69319731799562
"Gramd1a",5.14969923330815,4.66399964487419
"Hpn",2.89506511297057,2.45852449929436
"Ckb",6.32900234123546,6.41453190320308
"Sp1",3.95506773086584,3.81929436261526
"Itgb7",1.91885013724885,3.29375603182716
"Myg1",3.64450991395592,4.20834877677338
"Rarg",4.78823698741178,4.48686536610154
"Pfdn5",8.04878428920099,8.1286348871727
"Efnb2",1.64582311267686,1.98845069948398
"Rrp15",3.25831338755244,3.37045861777076
"Rnd2",1.11629609784127,1.83016020202839
"Srr",2.81757276738375,2.82841625973662
"Acp5",3.81178652022454,4.58471004551373
"Fbxo9",3.27151614464876,3.03395207410853
"Vps50",3.93174448417533,3.93750026104447
"Hars",4.47530890856109,4.82795763811138
"Zmat2",4.88532932909017,4.76098887794528
"Ube2c",2.67747075690078,3.06909268625879
"Smg5",4.26626846574614,4.2292679296579
"Cct3",6.07539777233241,6.04951965224858
"Glmp",7.78584631111582,7.74037612762691
"Snd1",5.02973042519819,5.57497933277904
"Col18a1",-1.99100130447098,-1.18961902119258
"Slc19a1",2.32266374591402,2.4915388154482
"Kpnb1",5.79117423790802,5.8509797188159
"Npepps",4.45362833079764,4.58276684903192
"Mrpl10",3.81765095142231,4.11047397290919
"Cyp51",2.68385721760122,3.09823352086055
"Tcf25",6.2213026083829,5.88308185981008
"Tubb6",8.09423249409102,7.65719643346774
"Def8",3.3015072644031,3.44781325094502
"Nkx2-1",-1.77744792308544,-2.09261478606237
"Col1a1",2.47075042081678,2.50036358424171
"Itga3",-1.62098060432236,-1.02266813109366
"Foxm1",2.30165812802834,1.99595533608267
"Itfg2",2.42253664079312,2.62758692557965
"Tulp3",0.91755761203769,0.54265064466168
"Gtf2h4",2.72357682316149,2.82891752273309
"Tubb5",6.92726094131253,7.15979861500509
"Ell2",1.90934288190857,2.70640733632811
"Jup",6.47559943944352,5.9422874610258
"Fkbp10",-1.13134160812296,0.337811994987007
"Nom1",3.12810279734417,3.01085652536578
"Ergic1",4.91978080291772,5.21137246433383
"Acap1",0.245065792332498,1.17907847279122
"Stk38l",2.53318131668863,2.58870070616956
"Brpf1",4.04475790849764,3.88405973473034
"Gstt1",2.15422931710623,1.48190255974027
"Gstt3",2.48122387975157,1.67727970366856
"Ddt",4.10122627353639,4.46878640812266
"Ubl3",6.66377417229995,6.65777007063987
"Gramd3",3.91290232253005,3.47034271466394
"Eef1e1",2.99512887508892,3.70519654745282
"Akt1",6.58117198934143,6.60958374147382
"Cldn15",0.214344168762627,-0.621721230467278
"Il16",4.61326038405841,4.65458114980426
"Tcirg1",6.23007626051138,5.97120304904928
"Naglu",4.10319322260286,4.40295184458001
"Coasy",3.15370701598458,3.43160816629436
"Smo",3.25341648742432,3.26426136252421
"Tspan33",2.10652381392658,2.37624131606577
"Crnkl1",3.13804771617996,3.17016776908624
"Rin2",6.09911591376291,6.13687668355885
"Chordc1",4.71292235137804,4.50129934825905
"Rtcb",5.52153571186189,5.87741498820589
"Pwp1",3.52936788949345,3.77981303963832
"Capns1",7.83887140779149,8.13758667597838
"Lrp3",-1.94189813387689,-0.814641572665076
"Clpb",3.84633239300736,4.05192787404063
"Sept7",6.5897659723845,6.56032534476756
"Zdhhc4",3.37269004353136,4.14817236910006
"Rac1",8.44480034434637,8.54758630432145
"Nup214",3.88478836099696,4.04785713661152
"Cpa3",3.75357063896996,3.62296355880494
"Ltbp1",2.20504035067613,2.6529396573457
"Ugp2",5.43439449317976,5.64160534713252
"Trmt1",5.08432326899393,4.97290673425288
"Slc1a5",3.71349387000177,4.18060082282976
"Uba1",6.12027984104835,6.22051105661999
"Vwf",2.6458344642985,4.62381684227166
"Siae",3.64179682624598,3.6985009619045
"Esam",0.878365434217772,1.48847679223403
"Spa17",0.252384186390709,0.715527796622729
"Fam50a",5.59227867518786,5.42816607190299
"Emd",5.45869388858364,5.27784527311786
"Taco1",0.840065355848229,1.51094499168024
"Sipa1l2",2.97740904665002,3.04729609458879
"Ap4e1",2.21169660874669,2.10662172846082
"Blvra",6.29564494295942,6.30756159498784
"Idh3g",6.17530562617858,6.14025751853684
"Ssr4",6.54614371660444,6.87366582738978
"Bcap31",6.68549234677489,6.75506155934416
"Fam98a",2.68862655124413,2.31203098158225
"Ltbp2",-0.496787298685677,-0.565849640440902
"Ift46",4.79047636799296,4.72114464412674
"Cd3g",-0.544780192816217,0.374164998594288
"Trappc6a",4.71722356949783,4.3493224325423
"Supt6",4.19539250663721,4.39308617387891
"Spag5",2.67205604769007,2.31814672157554
"Unc119",4.72437316068869,4.58415190301885
"Rab34",3.45551689434908,2.98270882435943
"Sdf2",5.44364153347109,5.37250014474058
"Ccne1",-0.246269659263334,-0.212889335050734
"Bbc3",3.14532967259842,3.53872645290294
"Mybpc3",-0.881121352524982,-0.868192497163109
"Psmc3",6.43230596740944,6.398913028506
"Acp2",5.63332581386221,5.85853109519651
"Rapsn",-1.28891340589201,-0.799503186434744
"Slc39a13",3.32750323407266,3.40157445148498
"Nr1h3",3.72707537225283,4.36343344987949
"Ddb2",2.23402830168363,1.9454010665202
"Spi1",7.68851444399531,7.80870678353661
"Sf3a1",3.88873130361702,4.13784364934263
"Stat6",6.27380455509131,6.11006035949093
"Napsa",1.91238226783642,4.60573591420933
"Vrk3",4.27504610877084,4.25643603700501
"Smg9",3.69520944398155,4.06701259851244
"Paxip1",3.16831246555688,3.08597750812686
"Rmnd5a",5.27676598846589,5.15461478636653
"Mov10",2.68389963858198,2.68281594215611
"Rhoc",6.62985543395329,6.83461859271051
"Ppard",3.02592760274476,3.28856281856358
"Def6",2.49847254750182,2.31330695866589
"Peg3",-2.26701507706447,-0.353300136731807
"Metrn",2.73730677680265,2.34335221015491
"Lmf1",3.51351533066821,3.52135854198965
"Narfl",3.28702485544652,3.62647210532668
"Angptl4",3.51132103699591,2.07058120547716
"Dbf4",3.08734546018457,2.67510346562663
"Daxx",4.24875222088196,4.18754493595565
"Cd320",1.7365689881693,1.9315265116111
"Ipo4",4.00715964212382,4.15526522242702
"Tm9sf1",4.91880781509925,4.9392858817625
"Irf9",5.06441190396212,4.79587546553254
"Gmpr2",4.6009641833208,4.72360769547761
"Mdp1",3.87812381818626,3.67994719578
"Dhrs1",5.7900873211951,5.80726404161169
"Tmem161a",3.77802976139593,3.54148973753842
"Armc6",1.75653783642612,2.15842065001247
"Slc25a42",0.541375562063003,0.288487963058826
"Snx9",6.08280584596395,5.80215973194777
"Ranbp3",4.149883167451,3.96772247546493
"Nr2f6",3.74751941437697,3.57755591010844
"Use1",6.52506261140079,6.60979991867573
"Ocel1",3.59811218478885,3.68253831259804
"Dyrk1b",1.65553834581748,1.41107500374898
"Braf",2.33490659917906,2.14296976114051
"Ndufb2",5.63460445906344,5.91831482141763
"Hltf",4.05956269337567,3.59321894292635
"Prpf6",4.23815552975249,4.28831562666691
"Rgs19",5.8867208863609,5.9201648591651
"Abhd3",0.317598479723993,0.950180609979146
"Snrpd1",5.44527608288061,5.30143111047513
"Tchp",1.73225703061427,1.69757884000984
"Tiam1",2.68179084110155,2.93883408161389
"Tsc2",3.68405577472521,3.68728294339303
"Slc9a3r2",5.0542930987947,5.35715854997998
"Puf60",5.48133100193289,5.62035793414232
"Golga2",4.47683194535077,4.39920444814157
"Mien1",5.74106197333918,5.97076907370525
"Axl",6.03982383185128,7.37369477335634
"Tgfb1",6.34647692083616,6.59517304809094
"Ccdc97",4.01153635508942,4.20324872194523
"Zfp40",1.42570543223084,1.02871967285749
"Akap8l",4.90973940467329,4.19361911698335
"Pdcd2l",5.62994305509603,4.76430558661876
"Gtf2f1",4.863187343934,4.47673876972842
"Clpp",2.99867099784664,2.74764639556582
"Alkbh7",2.75695194945201,3.06769017698236
"Dennd1c",4.35712479020803,3.68406232115491
"Med6",3.91003991835709,3.70165251689314
"Lcp2",6.19604655339599,6.25736699186109
"Cse1l",4.49213544698545,4.89039542746833
"Prkra",4.12266255054421,4.19295689983035
"Fkbp7",3.01603998968476,3.22530211464797
"Plekha3",3.89721330426997,3.34869354842899
"Ykt6",5.38194245527976,5.3359645711881
"Baz1b",4.5830751082724,4.24890918780174
"Pex6",3.87968055540932,3.56958409713976
"Mrpl2",4.47972959354013,4.82444424486472
"Mea1",5.33988984847038,5.26052201765993
"Grin2d",-1.61339804551729,-2.99839396320176
"Kdelr1",6.06708003672865,6.06251527376992
"Tmem143",1.83494470268015,2.13181839625603
"Ggct",1.78400604210386,2.36604864598167
"Jag2",-0.239826062792641,-1.5720508343792
"Btbd6",1.79486945737517,1.61507422759945
"Nudt14",2.31273120477758,2.74012648934189
"Flii",5.63774796726393,5.5397044205863
"Top3a",1.68792777060489,1.78816089779089
"Atg4d",2.89158447800914,2.6123237334731
"Qtrt1",1.90788506384498,1.62616394315638
"Hdgfrp2",3.92385367109741,3.72155247311926
"Chaf1a",1.52537682704694,1.72315526496502
"Adprh",5.60928184118931,5.83362650518819
"Tmem39a",4.13553002052322,3.75349009370521
"Timmdc1",2.57479384936328,2.94256309487228
"Mcm2",2.91273112617499,3.50678757861005
"Tpra1",4.36809511340272,4.57436610992598
"Nab1",4.63770812831813,4.74589805044485
"Adgre5",7.80599667877059,8.12079372662761
"Il17ra",4.32469860070332,4.83642484244573
"Lamb1",-0.00187689896800802,1.0786240193158
"Arrdc2",2.27546629761682,2.78251133216811
"Cd36",9.59526801585238,8.96654121355141
"Timm44",4.04760423064245,4.02786660643392
"Pnkp",3.63515749247327,3.76063687462918
"Med25",4.14215861880664,3.7143937788806
"Bcam",4.20860048287126,4.85396623153104
"Clptm1",5.96346781821123,6.121850107483
"Relb",4.79085020211584,4.62443859364051
"Apoe",13.7692330887797,14.0121179512884
"Hbp1",5.1924365345684,5.18252225863391
"Prkar2b",4.60424765857589,3.52792861624557
"Klf4",8.82834000605954,8.43717725420256
"Ap1m1",5.31439871884432,5.44435602921901
"Rab8a",5.54687729629753,5.79814472454869
"Fam32a",5.31573501302927,5.28514601030568
"Stard3nl",6.10086012676242,5.7902538487917
"Stk11",5.4650288730006,5.53049690593373
"Efna2",-0.770809366444742,-1.47955332077174
"Atp5d",6.5171045768308,6.70549370031598
"Ppp5c",5.47603327859742,5.1041668206338
"Pafah1b2",4.07069139713474,4.04779371134872
"Tbc1d8",3.2310572720581,3.31762016898834
"Cnot11",2.86544537144122,2.8915978618985
"Slc2a3",1.10225026128875,1.97380061770057
"Foxj2",3.75960946307087,3.75166654515632
"Sri",6.92168579007224,7.1693926609239
"Dgcr2",4.16383540503299,4.65179819563752
"Irf3",5.21135804018192,5.17456120246545
"Bcl2l12",3.03787615088559,2.9166711350789
"Zfp959",1.88027976985922,1.56158076651507
"Mpnd",4.88281342252765,4.89584660757583
"Sh3gl1",5.28136687526254,4.93202289852454
"Ebi3",5.07227530736015,5.37531637465147
"Ranbp2",4.2230656153974,4.15607182522141
"Grk5",3.11518499449257,3.02369555472726
"Dvl3",2.57530840989084,2.81551995870628
"Abcf3",3.58735826583991,3.53709804725191
"Eif2b5",3.43237954594498,3.60083769337636
"Cyth2",4.4531704122378,4.03344530525354
"Car11",0.593493402781265,0.123539446664056
"Plag1",-0.571135189458683,-2.30833866836532
"Hck",5.29869419834739,6.06100045669661
"Mrpl4",4.22176295147604,4.24036975853327
"Keap1",3.59249233510486,3.78822723657938
"Glg1",5.33973414455898,5.4422751945693
"Btbd2",3.66757900715643,3.67429905893442
"Csnk1g2",4.70373484756529,4.65218502747651
"Abhd17a",4.5322382810597,4.55229994695578
"Mob3a",4.64126741887101,4.73420380075165
"Ddx23",5.05805501997873,4.81467843589532
"Pld3",6.53178262927,6.92634274361911
"Grik5",-0.708316259903278,-1.00809229660587
"Cd79a",2.91346858951462,4.93932865066202
"Rabac1",6.67135321950295,6.89589263599016
"Etv3",5.89859172816319,5.32142216260021
"Prkcsh",5.33559315412345,5.46691206026946
"St8sia6",2.99455918534117,4.23054766341403
"Fcgrt",9.46954765857255,8.92281556004721
"Nosip",3.71931054111562,3.99323879271474
"Pih1d1",4.97020444311256,4.88113539660798
"Rps11",10.1387169204346,10.240090694295
"Supt5",5.66141880504211,5.53439188506285
"Paf1",5.96602437388059,5.47950886327664
"Timm50",4.40074748092881,4.64103332170827
"Med29",3.72067988872846,3.4206325651895
"Bicd1",0.456590053671199,-0.742997816551844
"Ncstn",5.99799841999971,6.14401980590966
"Pex19",4.87281218619317,5.03447322180555
"Inmt",3.53025260716218,4.6987086498606
"Cyp4f18",5.16268822291041,4.93010128340484
"Impdh1",4.37251552965213,4.39724646861087
"Dusp3",5.84755335932441,5.85727298951813
"Prodh",0.484279505058947,1.46420477521306
"Dgcr14",1.96046969160573,2.26254818922427
"Slc25a1",4.67776022568221,4.83034450766573
"Dgcr6",3.77332053915443,4.18185446351282
"Ier3",9.14586209756394,8.498462469211
"Fosb",9.50426837424547,9.1105402311615
"Klc4",2.7047482053686,3.32623392328825
"Ercc1",3.77330624926197,3.91042655985848
"As3mt",4.13414626913705,4.06080702346577
"Homer3",3.59372302045412,3.62832069757965
"Crtc1",1.61607772617589,1.81444634713002
"Rnf215",3.83006902144367,3.54230247426256
"Sec14l2",-1.13371100994094,0.347384103508682
"Aven",3.17659687241799,3.19294633401363
"Cp",6.51380674895254,6.71954838938785
"Crot",3.7488492319715,3.79269298205245
"Rps6ka1",5.06665384640051,5.35885619527892
"Snrnp200",4.6462431553443,4.87130022676251
"Ciao1",4.54006213870411,4.7244011724103
"Has1",-1.15172624538965,-0.598332746470246
"Insig2",3.95628082876925,3.59378971789841
"Kpna6",3.18320302943028,3.58959375902344
"Man1a",6.38440284049368,6.51892133409163
"Itpkc",4.45944423659847,3.57876718749331
"Adck4",3.29154448833731,2.98169176085283
"Brd8",3.47431375963279,3.7974030999485
"Kif20a",0.924710365418129,1.50268627662732
"Farsa",3.79686313643771,3.71755057935672
"Gcdh",3.35083092408906,3.0582757390933
"Mast2",3.54456331379293,3.71786094438181
"Dnase2a",6.52714901855497,6.46320687936207
"Rad23a",5.05039895082961,5.37431994670813
"Calr",9.61245656384482,9.33734794820129
"Syce2",3.01223749871893,3.0654298552752
"Nfat5",3.75108835787253,3.77429361368698
"Nob1",3.03087169172337,3.69776932093579
"Nqo1",-0.858431668269176,-1.06298686038523
"Gys1",1.2862594836968,1.70378396968494
"Ruvbl2",3.84753250866228,4.11824639190866
"Bax",5.81377367688551,5.91381644469516
"Il7r",-1.47301055579543,-0.634048657721736
"Tfam",4.03552095640868,4.20923720859467
"Zfp81",-0.0736396953768317,0.352646584305052
"Mmd",4.20378037057148,4.07112960213532
"Fam162a",4.65856877177302,4.4762135743613
"Rpl8",9.22121828243418,9.40258140542829
"Ssbp2",4.57791966023286,3.27116342518573
"Gstm5",3.0783201610487,3.29097396015046
"Gstm7",-0.122921650657417,-0.715742730979514
"Stat3",6.14908723702967,5.58126330653473
"Stat5a",2.8647514523744,3.23081790041265
"Ptrf",2.56718188848154,2.61915214125844
"Map3k11",5.16681314483366,5.09811006323484
"Dnaja3",3.33798629345472,3.95387115860127
"Hmox2",6.96866019877298,6.74537435686833
"Cdip1",3.92548775360461,3.71704469230424
"Zak",1.6826860881317,1.57274369908385
"Cwc15",6.27126946184723,6.28295704520832
"Dnmt1",3.5716120363857,3.73048577453934
"Angptl2",-1.17402402523401,-0.900791129755025
"Cacna1e",2.82514140236587,2.28094782450512
"Trmt10a",0.495839656031532,1.61852828141892
"Kifc2",-0.954400993204868,-1.83846790140834
"Psap",10.5662687173061,10.8895930497813
"Ikbkg",3.46152247516443,3.49888334565814
"Wars2",2.12821312581736,1.88244016371521
"Atn1",3.65717892549447,3.41028932770299
"Phb2",5.6861216190366,6.0313407306195
"Ptpn6",6.66733553558547,7.06391550648873
"Eno2",-0.302556510160547,1.74804046676185
"Emg1",5.45054869622119,5.41194856531319
"Lpcat3",3.79198947814244,4.73125389147943
"Clcn5",4.75521929068131,4.34467404202054
"Clcn3",3.26122504585415,3.20182072619808
"Hif3a",-1.7602808320107,-1.58164551426253
"Utp20",2.01006451610838,2.07336389727054
"Spic",3.63502673432409,3.57398670977189
"Cul3",6.16371974017978,6.03288371746719
"Large",1.6848898890473,1.58688345730706
"Ddx56",3.64573344936762,3.75306125845349
"Tmed4",4.7796448382983,5.01580851981709
"Bid",3.43721191609021,2.97777741832834
"Ralb",5.65267518702351,5.46949624613936
"Dnajb11",6.063493395901,6.02685876306209
"Tbccd1",2.44981222632118,2.45520188261055
"Zfp324",-0.880166019327236,-0.625592163122237
"Gab2",3.65556318654059,4.09428108387937
"Coro1c",6.13893401728737,6.28217682178523
"Tax1bp1",5.74070051127804,5.61211492340122
"Ctse",0.3226281626198,1.45210800537589
"Ndrg2",0.231638603630422,-0.621506171716726
"Mettl17",2.27835602183914,1.74226580107079
"Arhgef40",2.43744418687773,2.7659673504434
"Pnpla6",3.11276704231152,3.04914355531195
"Mcoln1",5.36693408225456,5.16034960701865
"Arhgef18",2.16322507712648,2.3920336079602
"Pkn2",3.69559397247556,3.63176090764599
"Cd33",6.52484026792135,6.90803724350198
"Nkg7",1.25814752942572,2.31772380715656
"Stxbp2",5.77249203202054,5.46477204950515
"Sgce",4.65860984578068,4.59444381876574
"Chn2",2.47894497252298,2.81138009549574
"Wwox",1.72463443110126,1.57240683066118
"Aqp1",3.12595194096143,3.74818717367074
"Arid3b",1.17977502821984,1.64552273804006
"Cnn2",5.51564474433994,5.94262845308735
"Polr2e",5.46562253167034,5.20895533265766
"Myo9b",4.7580676572533,4.64034395779171
"Hdac9",3.59562169653594,3.61843602789226
"Ly9",5.20370210605335,5.3044089619993
"Cd244",0.0437798013701249,1.83593697454573
"Adgre1",8.76664546273252,8.74018951901836
"Mtfp1",-0.170715685910306,0.876029263853046
"Rab23",1.21485798216638,1.94939063975629
"Rab11a",7.81948745093653,7.63197949752514
"Eif2b2",4.35380363169502,4.17783728560472
"Dlst",5.04161595168615,5.47566292624469
"Ulk2",4.62290104506825,4.72560218407084
"Ccl24",9.4165547757385,8.22962225794801
"Dgkq",3.05495677534669,2.78944662837716
"Grap",6.19854529713327,5.68231722658363
"Chmp2b",5.07869350887309,5.19571302707673
"Plod3",5.9216185382192,6.20157087337644
"Ap1s1",5.6742693557399,5.88872602723087
"Srpk1",4.03310541991111,4.06154881240381
"Lbr",5.23847458361409,4.66412845971318
"Nes",0.525540557363236,2.63845001316697
"Prcc",3.7337388628854,4.0515444619541
"Rrnad1",2.61846283295586,2.4765550518956
"Hdgf",5.92506743193236,5.90986914851341
"Thop1",2.51016786415395,2.72234865212436
"Apba3",3.11650761016708,2.94098918917096
"Matk",3.52187081876955,3.4676028599972
"Pias4",3.62614455043751,3.31767898547313
"Map2k1",5.63796817424123,5.77380868556649
"Sgta",5.04123315262033,4.80676519181318
"Tmem242",5.06512972042604,4.82411123399076
"Dtx2",3.38515340885306,3.32621876122512
"Rasa4",5.42708814180969,5.45251048170765
"Hnrnpa2b1",8.67001784550659,8.48186867717962
"Ccdc130",3.79656990112495,3.45360728054742
"Mri1",2.60763236132744,3.09776316637129
"Prkacb",5.66416067784754,5.55438747313518
"Sgsh",3.55788429560201,3.96776838737001
"Chd5",-2.01099832273209,-0.477225643793887
"Cstb",7.93366351062097,8.23982316494784
"Sh2b2",1.8713109786364,2.18867306112931
"Pex5",4.62493755342178,4.45882411475699
"Jkamp",3.39486173392354,3.44351861138569
"Cd44",6.27033191987575,6.7394531830941
"Slc1a2",-2.01245859387759,-1.60990802170644
"Eif2ak4",2.21966202076219,1.96737322062798
"Wdr1",6.67208970029322,6.87083300375654
"Slc2a9",2.43033556867675,2.40359639006014
"Ndrg1",0.726822999802369,1.59866706198059
"Man2b1",7.80794164316273,7.84043300542445
"Wdr83",2.79088161920015,2.87860325273568
"Polr2a",4.91277686335593,5.22565900243313
"Senp3",5.35221027592013,5.38600789167606
"Plekha8",1.48564758695471,1.82186638444102
"Spc25",2.02412754366483,1.52415041728119
"Dnah2",-0.0299142430269186,-0.383892985510375
"Ufd1l",4.27551598839964,4.49594302835577
"Zfp287",0.466087836295288,0.45877801770646
"Letm1",3.55802965898447,3.39019541832602
"Ubqln1",4.62620394455222,5.01147808105269
"Txn2",6.71788043829663,6.6528043268538
"Slc1a3",-1.07615068715221,0.132890110891526
"Crbn",3.68982783542875,3.55756348152996
"Msh6",2.94588556492102,2.61975095116243
"Fbxo11",5.02712248966168,4.65590087647896
"Mlxipl",1.27854118462118,2.09156759581483
"Tbl2",2.1609558764352,2.36748361245266
"Wbscr22",4.32533338600005,4.17500992688622
"Nid1",0.181678425052282,0.808812516795996
"Mcm5",3.18427362210591,3.8821125442466
"Hmox1",9.29705043410256,8.32789412810203
"Mprip",4.96373732060379,4.76912317438549
"Cic",5.79048850271525,5.99314674796518
"Pafah1b3",4.45009349101178,4.34459681639462
"Il27ra",2.22587849770701,2.38336515535035
"Prkaca",4.53160349727253,4.57217229770044
"Asf1b",2.59700111939705,2.26252338768653
"Ddx39",4.15965701146521,4.13245301412429
"Dnajb1",7.64535206619034,6.56860310306105
"Msh4",-0.802718764203079,-0.70903581966789
"Usp40",2.34182919566267,2.09854944413264
"Kbtbd4",2.0498884848409,1.66091164447815
"Por",4.59112423448826,4.74069891507357
"Igf1r",1.75244052360447,1.6869362273775
"Fcer2a",0.784136048272275,3.06908121454357
"Trim28",5.65502704141825,5.61007419591955
"Ube2m",5.95414735489018,6.15085184392559
